huc12,duration_hours,is_monotonic,minimum_mm,maximum_mm,threshold_count
031300031204,6,True,65.54946597946186,248.28292339665578,10
031300031204,24,True,91.64975445046537,390.4683245464005,10
031300031204,72,True,117.53410973963653,478.987116503341,10
031300031205,1,True,40.054414291054236,125.6169141275773,10
031300031205,3,True,55.066859792715825,191.2215989229423,10
031300031205,6,True,65.54664674906282,252.6294206251157,10
031300031205,24,True,91.44739417630869,395.10174049839827,10
031300031205,72,True,117.12771165861169,482.58829727318164,10
031300031301,1,True,40.289410879315085,126.40275155470647,10
031300031301,3,True,55.3806227960154,193.8783044831772,10
031300031301,6,True,66.06767099791631,257.49064176328017,10
031300031301,24,True,92.55718714370789,404.7455640021883,10
031300031301,72,True,118.74313113433986,495.7167948163957,10
031300031302,1,True,40.366862309392346,127.8930016165983,10
031300031302,3,True,55.50663852373673,195.09439949827262,10
031300031302,6,True,66.07953410188149,258.2352445925821,10
031300031302,24,True,92.16156393916692,404.6730133562624,10
031300031302,72,True,118.13064571325349,494.0040759377296,10
031300031303,1,True,40.54437968219136,129.5585127727465,10
031300031303,3,True,55.79647624931124,198.18885150834313,10
031300031303,6,True,66.52126892025527,262.84978220892407,10
031300031303,24,True,92.86213276314199,412.5029017692969,10
031300031303,72,True,119.17487406090335,504.2633268243574,10
031300031304,1,True,40.68061624368914,123.61489003414836,10
031300031304,3,True,55.98174861254373,190.17754805726426,10
031300031304,6,True,66.82700460853655,254.44319621410094,10
031300031304,24,True,93.49440946100825,406.25202753027014,10
031300031304,72,True,120.01655463694966,498.86135624721834,10
031300031305,1,True,41.01677717020289,125.37962531022184,10
031300031305,3,True,56.49752733958582,194.68787718002372,10
031300031305,6,True,67.46438308146256,261.9655598474862,10
031300031305,24,True,94.37141497019972,419.2260912148495,10
031300031305,72,True,121.11648884185398,513.5469171910693,10
031300031306,1,True,40.525500140704764,126.12136914028493,10
031300031306,3,True,55.73410739857982,194.33574095026265,10
031300031306,6,True,66.55841663391494,259.3518058503175,10
031300031306,24,True,93.3303972051304,410.45625755123217,10
031300031306,72,True,119.79696491806538,503.17321051327036,10
031300031307,1,True,40.54696783868937,128.72669086408354,10
031300031307,3,True,55.78320356012096,198.6941781850134,10
031300031307,6,True,66.64550446824911,264.8095548824868,10
031300031307,24,True,93.49980579024626,416.5669128967471,10
031300031307,72,True,120.03430363678477,510.10667160462725,10
031300031308,1,True,41.07559330378022,129.8585605402858,10
031300031308,3,True,56.664390247491546,203.17843270933056,10
031300031308,6,True,67.84026998542052,273.676572919382,10
031300031308,24,True,95.16748082753632,434.2382588620226,10
