nhdplus_comid,site_no
18580375,02451500
18580405,02450500
18580405,02451000
18580405,02451500
18580409,02450500
18580409,02451500
18580413,02450500
18580413,02451000
18580413,02451500
18580415,02450500
18580415,02451000
18580415,02451500
18580417,02451000
18580419,02451000
18580425,02451000
18580427,02451000
18580431,02450500
18580437,02450500
18580437,02451500
18580441,02450500
18580441,02451500
18580443,02450500
18580465,02450500
18580467,02450500
18584023,02451500
18584027,02451500
18584029,02451500
18584031,02451500
18584033,02451500
18584037,02450500
18584037,02451000
18584037,02451500
18584039,02450500
18584039,02451000
18584039,02451500
18584041,02450500
18584041,02451500
18588572,02449882
18588580,02449882
18588584,02449882
18588620,02449882
18588654,02449882
18588672,02449882
18588690,02449882
18588694,02449882
18588712,02449882
18588738,02449882
18588770,02449882
18588796,02449882
18588808,02449882
18588818,02449882
18588844,02449882
18588856,02449882
18588870,02449882
18588884,02449882
18588886,02449882
18588890,02449882
18588894,02449882
18588896,02449882
18588902,02449882
18588912,02449882
18588926,02449882
18588928,02449882
18588928,02450000
18588930,02449882
18588930,02450000
18588938,02450000
18588950,02450000
18588968,02450000
18588988,02450000
18589012,02450000
18589016,02450000
18589030,02450000
18589042,02450000
18589334,02449882
18590354,02450000
18590360,02450200
18590386,02450200
18590398,02450200
18590410,02450000
18590452,02450000
18590456,02450200
18590458,02450200
18590470,02450200
18590478,02450000
18590556,02450180
18590578,02450180
18590580,02450180
18590596,02450200
18590610,02450200
18590620,02450200
18590650,02450180
18590654,02450180
18590656,02450180
18590660,02450180
18590670,02450180
18590674,02450180
18590676,02450180
18590678,02450180
18590686,02450180
18590788,02450000
18591336,02450200
18591354,02450200
18591378,02450200
18591408,02450200
18591428,02453000
18591436,02453000
18591442,02450200
18591472,02453000
18591498,02453000
18591514,02453000
18591580,02453950
18591600,02453950
18591612,02453950
18591614,02453950
18591626,02453400
18591652,02453950
18591652,02454000
18591654,02453950
18591654,02454000
18591680,02453400
18591684,02453950
18591684,02454000
18591686,02453400
18591692,02453400
18591698,02453400
18591704,02453400
18591706,02453400
18591710,02453950
18591710,02454000
18591722,02454000
18591728,02453400
18591758,02454055
18591798,02454200
18591804,02454200
18591808,02454200
18591828,02454200
18591830,02454200
18591844,02454200
18591856,02454200
18591938,02453000
18591940,02453000
18591978,02454000
18591978,02454055
18591980,02454000
18591980,02454055
18592034,02453500
18592048,02453400
18592052,02453400
18592054,02453400
18592060,02453400
18592062,02453400
18592066,02453400
18592068,02453400
18592070,02453500
18592074,02453500
18592082,02453500
18592092,02453500
18592094,02453500
18592100,02453500
18592218,02450200
18592228,02453500
18604010,02448500
18604126,02448500
18604128,02448500
18604140,02448500
18604162,02448500
18604164,02448500
18604180,02448500
18604196,02448500
18604230,02448500
18604262,02448500
18604328,02448500
18604462,02448500
18604660,02448900
18604662,02448900
18604666,02448900
18604672,02448900
18604676,02448900
18604706,02448900
18604708,02448900
18604744,02448900
18604752,02448900
18604774,02448900
18604776,02448900
18604778,02448900
18604806,02448900
18604808,02448900
18604810,02448900
18604844,02448900
18604856,02448900
18604858,02448900
18605028,02448500
18605042,02448900
18614462,02445245
18614468,02445245
18614496,02445245
18614500,02445245
18614504,02445245
18614506,02445245
18614514,02445245
18614626,02445500
18614642,02445500
18614648,02445500
18614660,02445500
18614662,02445500
18614678,02445500
18614698,02445500
18614854,02445500
18614860,02445500
18615662,02446000
18615676,02446000
18615708,02446000
18615744,02446000
18615770,02446000
18615790,02446000
18615820,02446000
18615838,02446000
18615878,02446000
18615880,02446000
18615898,02446000
18615904,02446000
18616122,02446500
18616124,02446500
18616168,02446500
18616186,02446500
18616190,02446500
18616198,02446500
18616234,02446500
18616252,02446500
18616266,02446500
18616288,02446500
18616312,02446500
18617000,02446500
18617016,02446500
18617052,02446500
18617302,02446000
18618424,02447000
18618426,02447000
18618458,02447000
18618460,02447000
18618506,02447000
18618514,02447000
18618644,02447000
18618646,02447000
18618648,02447000
18618654,02447000
18618658,02447000
18618660,02447000
18629310,02443730
18629358,02443730
18629360,02443730
18629414,02443730
18629426,02443730
18629430,02443730
18629446,02443730
18629462,02443730
18629696,02444000
18629720,02445000
18629738,02445000
18629742,02445000
18629764,02445000
18629776,02445000
18629778,02444000
18629782,02444000
18629804,02444000
18629816,02445000
18629828,02445000
18629868,02445000
18629874,02445000
18629890,02445000
18629906,02445000
18629972,02445000
18629980,02444000
18629984,02444000
18629986,02444000
18630004,02445000
18630026,02445000
18630032,02445000
18630064,02445000
18630082,02445000
18630110,02445000
18630142,02445000
18630192,02445000
18630242,02445000
18630244,02445000
18630760,02444000
18630764,02444000
18630772,02444000
18630822,02445000
18630876,02445000
18630878,02445000
18630998,02444160
18631000,02444160
18631002,02444000
18631008,02444160
18631010,02444000
18631012,02444000
18631018,02444000
18631020,02444000
18631024,02444160
18631034,02444000
18631036,02444160
18631040,02444160
18631042,02444160
18631068,02444500
18631070,02444500
18631076,02444500
18631080,02444500
18631086,02444500
18631092,02444500
18631184,02444160
18631190,02444160
18631194,02444160
18631196,02444160
18631200,02444160
18631204,02444160
18631208,02444160
18631214,02444160
18631216,02444160
18631986,02449245
18631992,02449245
18631998,02449245
18632000,02449245
18632012,02449245
18632020,02449245
18632024,02449245
18632044,02449245
18632060,02449245
18632064,02449245
18632066,02449245
18632634,02467000
18632638,02467000
18633358,02449245
18633364,02449245
18633382,02449245
18633396,02449245
18633598,02449400
18633608,02449400
18633610,02449400
18633620,02449400
18633624,02449400
18633646,02449400
18633648,02449400
18633654,02449400
18633656,02449400
18633662,02449400
18633666,02449400
18633670,02449400
18633674,02449400
18633678,02449400
18633680,02449400
18634020,02447025
18634026,02447025
18634026,02449000
18634028,02447025
18634028,02449000
18634030,02447025
18634030,02449000
18634038,02447025
18634038,02449000
18634042,02447025
18634042,02449000
18634046,02447025
18634046,02449000
18634050,02447025
18634050,02449000
18634054,02447025
18634054,02449000
18634060,02447025
18634060,02449000
18634066,02447025
18634066,02449000
18634076,02449000
18634104,02449500
18634110,02449500
18634112,02449500
18634122,02449500
18634128,02449500
18634130,02449500
18634132,02449500
18634140,02449500
18634142,02449500
18634148,02449500
18634154,02449500
18634248,02447025
18634248,02449000
18645512,02442000
18645522,02442000
18645526,02442000
18645532,02442000
18645542,02442000
18645560,02442000
18645566,02442000
18645582,02442000
18645586,02442000
18645594,02442000
18645598,02442000
18645602,02442000
18645606,02442000
18645612,02442000
18645614,02442000
18645618,02442000
18645626,02442000
18645638,02442000
18645642,02442000
18645646,02442000
18645686,02442500
18645692,02442500
18645696,02442500
18645700,02442500
18645744,02442000
18645748,02442000
18647814,02443230
18647828,02443230
18647838,02443230
18647840,02443230
18647842,02443230
18647844,02443230
18647848,02443230
18647850,02443230
18647852,02443230
18647854,02443230
18647856,02443230
18647888,02443230
18647900,02443230
