Station ID,State,Station name,Latitude,Longitude,Post-merge station ID,Co-located station ID,Base duration,Source of data,Period of record,Elevation (ft)
01-6942,AL,RIVER FALLS 2 NE,31.3667,-86.5167,01-0252,,1-hour,NCDC,6/1948-12/1980,190
01-6988,AL,ROBERTSDALE,30.565,-87.7017,,,1-day,NCDC,5/1912-10/2011,161
01-7020,AL,ROCKFORD 3 ESE,32.8711,-86.1758,,,1-day,NCDC,7/1954-7/2011,600
01-7025,AL,ROCK MILLS,33.1581,-85.2911,,,1-day,NCDC,6/1938-10/2011,750
01-7131,AL,RUSSELLVILLE #2,34.51,-87.7319,,,1-day,NCDC,9/1953-10/2011,830
01-7157,AL,SAINT BERNARD,34.1736,-86.8133,,,1-day,NCDC,8/1907-2/2010,800
01-7207,AL,SAND MT SUBSTN,34.2878,-85.9681,,,1-day,NCDC,1/1949-10/2011,1190
01-7282,AL,SAYRE 5 NW,33.75,-87.05,01-2350,,1-day,NCDC,3/1938-3/1992,304
01-7304,AL,SCOTTSBORO,34.6736,-86.0536,,,1-day,NCDC,12/1891-10/2011,615
01-7326,AL,SEALE,32.3217,-85.1683,,,1-day,NCDC,3/1925-10/2011,425
01-7328,AL,SEALE,32.3,-85.1667,01-7326,,1-day,NCDC,3/1925-2/1965,390
01-7366,AL,SELMA,32.41,-87.0153,,,1-day,NCDC,2/1895-10/2011,147
01-7415,AL,SHEFFIELD TVA NURSERY,34.7667,-87.7,01-2971,,1-day,NCDC,3/1935-7/1954,512
01-7733,AL,SPRING HILL,30.7,-88.1667,01-5478,,1-day,NCDC,5/1904-6/1951,180
01-7963,AL,SUTTLE,32.5411,-87.1783,,,1-day,NCDC,10/1949-6/1980,145
01-7994,AL,SYLACAUGA 2 W,33.1667,-86.2833,01-7999,,1-day,NCDC,1/1937-7/1959,551
01-7999,AL,SYLACAUGA 4 NE,33.2053,-86.2114,,,1-day,NCDC,1/1937-10/2011,490
01-8024,AL,TALLADEGA,33.4164,-86.135,,,1-day,NCDC,2/1888-10/2011,448
01-8178,AL,THOMASVILLE,31.9172,-87.7347,,,1-day; 1-hour; 15-min,NCDC,9/1891-10/2011; 11/1967-12/2010; 5/1971-12/2010,390
01-8204,AL,THORSBY 1 SW,32.9,-86.7333,01-8209,,1-hour,NCDC,6/1948-3/1972,200
01-8209,AL,THORSBY EXP STN,32.9206,-86.6708,,,1-day; 1-hour; 15-min,NCDC,6/1948-10/2011; 6/1948-12/2010; 5/1971-12/2010,680
01-8215,AL,THURLOW DAM,32.5333,-85.9,,,1-day,NCDC,1/1937-9/1992,288
01-8259,AL,TONEY,34.9,-86.7333,,,1-hour,NCDC,7/1948-12/1980,830
01-8285,AL,TRAFFORD,33.8167,-86.7333,01-8668,,1-hour,NCDC,6/1948-2/1967,469
01-8323,AL,TROY,31.8075,-85.9722,,,1-day; 1-hour; 15-min,NCDC,6/1908-9/2010; 6/1948-12/2010; 3/1972-12/2010,542
01-8380,AL,TUSCALOOSA ACFD,33.2119,-87.6161,,,1-day,NCDC,6/1948-10/2011,169
01-8385,AL,TUSCALOOSA OLIVER DAM,33.2097,-87.5936,,,1-day; 1-hour,NCDC,2/1900-10/2011; 1/1958-12/2010,152
