catalog_event_id,matched_flood_report_count,matched_flash_flood_count,matched_property_damage_usd,matched_crop_damage_usd,matched_direct_deaths,matched_direct_injuries
AL-RF-20120807-0277,10,7,50000.0,0.0,0.0,0.0
AL-RF-20120831-0278,9,5,5000.0,0.0,0.0,0.0
AL-RF-20120903-0279,19,16,5000.0,0.0,0.0,0.0
AL-RF-20120904-0280,19,16,5000.0,0.0,0.0,0.0
AL-RF-20120918-0281,13,4,75000.0,0.0,0.0,0.0
AL-RF-20121018-0282,0,0,0.0,0.0,0.0,0.0
AL-RF-20121210-0283,0,0,0.0,0.0,0.0,0.0
AL-RF-20121226-0284,0,0,0.0,0.0,0.0,0.0
AL-RF-20130116-0285,14,7,0.0,0.0,0.0,0.0
AL-RF-20130130-0286,10,9,15000.0,0.0,0.0,0.0
AL-RF-20130211-0287,18,11,3431000.0,0.0,0.0,0.0
AL-RF-20130225-0288,16,15,75000.0,0.0,0.0,0.0
AL-RF-20130323-0289,0,0,0.0,0.0,0.0,0.0
AL-RF-20130401-0290,0,0,0.0,0.0,0.0,0.0
AL-RF-20130429-0291,3,0,0.0,0.0,0.0,0.0
AL-RF-20130502-0292,5,1,0.0,0.0,0.0,0.0
AL-RF-20130506-0293,6,0,0.0,0.0,0.0,0.0
AL-RF-20130518-0294,11,8,100000.0,0.0,0.0,0.0
AL-RF-20130605-0295,7,6,0.0,0.0,0.0,0.0
AL-RF-20130607-0296,0,0,0.0,0.0,0.0,0.0
AL-RF-20130704-0297,30,19,60000.0,0.0,0.0,0.0
AL-RF-20130711-0298,16,15,150000.0,0.0,0.0,0.0
AL-RF-20130724-0299,8,6,0.0,0.0,0.0,0.0
AL-RF-20130815-0300,4,4,0.0,0.0,0.0,0.0
AL-RF-20130817-0301,0,0,0.0,0.0,0.0,0.0
AL-RF-20130921-0302,1,0,0.0,0.0,0.0,0.0
AL-RF-20131126-0303,0,0,0.0,0.0,0.0,0.0
AL-RF-20131209-0304,0,0,0.0,0.0,0.0,0.0
