huc12,flood_report_count,flash_flood_report_count,property_damage_usd,crop_damage_usd,direct_deaths,direct_injuries
060300010405,4,2,0.0,0.0,0,0
060300010406,3,2,0.0,0.0,0,0
060300010407,2,2,0.0,0.0,0,0
060300010408,1,1,0.0,0.0,0,0
060300010502,5,3,0.0,0.0,0,0
060300010503,2,1,0.0,0.0,0,0
060300010505,3,3,0.0,0.0,2,1
060300010601,1,0,0.0,0.0,0,0
060300010602,5,3,0.0,0.0,0,0
060300010603,7,1,0.0,0.0,0,0
060300010604,3,3,0.0,0.0,0,0
060300010606,3,1,0.0,0.0,0,0
060300010701,3,1,0.0,0.0,0,0
060300010702,4,4,0.0,0.0,0,0
060300010703,4,2,0.0,0.0,0,0
060300010704,3,3,0.0,0.0,0,0
060300010705,1,1,0.0,0.0,0,0
060300010801,5,3,150000.0,0.0,0,0
060300010802,2,0,0.0,0.0,0,0
060300010803,5,2,0.0,0.0,0,0
060300010804,1,1,0.0,0.0,0,0
060300010806,11,6,5000.0,0.0,0,0
060300010901,1,1,0.0,0.0,0,0
060300010902,2,1,0.0,0.0,0,0
060300010903,2,2,0.0,0.0,0,0
060300010904,4,1,0.0,0.0,0,0
060300010906,2,0,0.0,0.0,0,0
060300020101,1,1,300000.0,0.0,0,0
060300020103,1,0,0.0,0.0,0,0
060300020104,1,0,0.0,0.0,0,0
060300020105,2,0,0.0,0.0,0,0
060300020107,7,3,0.0,0.0,0,0
060300020202,9,4,0.0,0.0,0,0
060300020203,5,4,0.0,0.0,0,0
060300020204,8,5,100000.0,0.0,0,0
060300020303,3,3,0.0,0.0,0,0
060300020304,8,5,25000.0,0.0,0,0
060300020305,12,10,0.0,0.0,0,0
060300020306,8,6,0.0,0.0,0,0
060300020307,5,3,10000.0,0.0,1,0
060300020401,1,1,30000.0,0.0,0,0
060300020402,7,5,0.0,0.0,0,0
060300020403,12,7,0.0,0.0,0,0
060300020404,7,6,0.0,0.0,0,0
060300020405,17,12,7000.0,0.0,0,0
060300020501,23,18,5000.0,0.0,0,0
060300020502,34,31,40000.0,0.0,0,0
060300020503,23,15,21000.0,0.0,0,0
060300020504,24,18,130000.0,0.0,0,0
060300020505,6,1,0.0,0.0,0,0
060300020601,1,1,0.0,0.0,0,0
060300020602,4,3,300000.0,0.0,0,0
060300020603,13,12,32000.0,0.0,0,0
